"Prod_Id";"Prod_Descripcion";"Prod_ProvId";"Prov_Nombre"
"27";"IVIX/F NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"28";"IVIX/J NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"29";"MAYA/1 NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"30";"MAYA/2 NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"31";"PALAS BLANCO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"32";"PETRA/2 GRIS";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"33";"PISCIS NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"34";"POXITAS 12 U";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"35";"TARUGOS Nº 5";"34";"EICHLER S.A."
"36";"TARUGOS Nº 6 COMUN S/ TOPE";"116";"VECOM S.A."
"37";"TARUGOS Nº 8 COMUN S/TOPE";"116";"VECOM S.A."
"38";"APOLO/L NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"39";"CIRCE/1 NEGRO EX 3031";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"40";"CIRCE/2 NEGRO EX 3033";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"41";"ENERGIZER A27";"72";"DIMAPE DISTRIBUIDORA"
"42";"ENERGIZER AAA";"72";"DIMAPE DISTRIBUIDORA"
"43";"MIDAS/D NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"44";"MIDAS/REJAS NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"45";"ORION/2 NEGRO 3039/N-LG";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"46";"ORION/A NEGRO 3038/N-LG";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"47";"ORION/F NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"48";"ORION/J NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"49";"TARUGOS Nº 10";"34";"EICHLER S.A."
"50";"TARUGOS Nº 12";"34";"EICHLER S.A."
"51";"TAURO/L NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"52";"TAURO/S NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"53";"TITAN/A NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"54";"TITAN/F NEGRO CON PIE";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"55";"APOLO/L BLANCO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"56";"APOLO/S BLANCO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"57";"EL PULPITO 50G";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"58";"FEBOS/L NEGRO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"59";"FEBOS/S BLANCO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"60";"FUENTE 12V 1MA";"52";"INDUSTRIAS SUR S.R.L."
"61";"HIDROFUGO 2 KG";"64";"MADERIN"
"62";"HIDROFUGO 5 KG";"64";"MADERIN"
"63";"RIEL DIN 35X15";"40";"ETA ELECTRO S.A."
"64";"TAURO/L BLANCO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"65";"TAURO/S BLANCO";"62";"LEDS GROUP DE CALABRESE GUSTAVO Y ENRIQUE S.H."
"66";"BUSCAPOLO CHICO";"52";"INDUSTRIAS SUR S.R.L."
"67";"CRUCETA ZINCADA";"63";"LUMIPACK SRL"
"68";"EL PULPITO 120G";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"69";"EL PULPITO 240G";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"70";"EL PULPITO 400G";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"71";"HIDROFUGO 10 KG";"64";"MADERIN"
"72";"HIDROFUGO 24 KG";"64";"MADERIN"
"73";"MENSULA LIVIANA";"16";"CAMIMPORT S.R.L."
"75";"TORNILLO CHICOS";"34";"EICHLER S.A."
"76";"TORNILLO GRANDE";"34";"EICHLER S.A."
"77";"WD-40 APLICADOR";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"78";"AGUARRAS 1 LITRO";"64";"MADERIN"
"79";"BASE AR111 NEGRO";"1";"180º ILUMINACION - HLC SRL"
"80";"BUSCAPOLO GRANDE";"52";"INDUSTRIAS SUR S.R.L."
"81";"CLAVO CANAL 6 MM";"86";"PLASTICOS CABRERA S.A."
"82";"CLAVO CANAL 8 MM";"86";"PLASTICOS CABRERA S.A."
"83";"COLG 3 PZAS BCO*";"63";"LUMIPACK SRL"
"84";"COLG 3 PZAS NEG*";"63";"LUMIPACK SRL"
"85";"FASTIX NEGRO 25G";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"86";"FRIDA BASE";"18";"CANDIL ILUMINACION"
"87";"TORNILLO MEDIANO";"34";"EICHLER S.A."
"88";"BAFLE 2 X";"97";"TELEMECANIQUE"
"89";"BAFLE 2 X";"115";"JMG SRL"
"90";"BAFLE 2 X";"97";"TELEMECANIQUE"
"91";"BAFLE 2 X";"115";"JMG SRL"
"92";"BAFLE 2 X";"115";"JMG SRL"
"93";"BAFLE 2 X";"115";"JMG SRL"
"94";"COMBINACION KALOP -  XD4F";"202";"ENCANTA SA"
"95";"EMBUTIDO FIJO E27";"1";"180º ILUMINACION - HLC SRL"
"96";"EXPANSOR MULTIUSO";"12";"BORNERAS"
"97";"FASTIX BLANCO 25G";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"98";"PORTERO S/N";"14";"CABLEDROP DE RODOLFO J. A. BADARACCO"
"99";"POXI-RAN POMO";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"100";"POXI-RAN POMO";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"101";"POXI-RAN POMO";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"102";"SAL DE LIMON 1 KG";"64";"MADERIN"
"103";"SILICONA MULTIUSO";"34";"EICHLER S.A."
"104";"TUBO LUZ NEGRA 4W";"52";"INDUSTRIAS SUR S.R.L."
"105";"UNION RJ45 BLANCA";"39";"ERICCSON ROBERTO"
"106";"VELADOR CAÑO LISO";"36";"ELECTROMAR SRL"
"107";"WD-40 GALON 3,78L";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"108";"WD-40 AEROSOL 311G";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"109";"ADAPTADOR JACK RCA";"45";"GB INGENIERIA ELECTRONICA"
"110";"AQUA CABEZAL DICRO";"18";"CANDIL ILUMINACION"
"111";"BUSCAPOLO DIGITAL";"52";"INDUSTRIAS SUR S.R.L."
"112";"CONCeNTRICO 4/";"97";"TELEMECANIQUE"
"113";"CONCENTRICO 6/";"97";"TELEMECANIQUE"
"114";"LA GOTITA POMO";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"115";"LAMPARA UNO NEGRA*";"63";"LUMIPACK SRL"
"117";"POXI-RAN LATA";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"118";"POXI-RAN LATA";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"119";"POXI-RAN LATA";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"120";"PRIMA TAPA EXTREMO";"7";"ARTELUM S.A."
"121";"QUITA SARRO 250 CC";"64";"MADERIN"
"122";"SEÑALIZADOR SALIDA";"81";"NOVA ELECTRICITY S.A."
"123";"SODA CAUSTICA 1 KG";"64";"MADERIN"
"124";"TUBO MASTER TL-18W";"108";"VOLTIO DE EL ARO SRL"
"125";"WD-40 AEROSOL 155G";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"126";"WD-40 AEROSOL 220G";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"127";"WD-40 TAMBOR 18,9L";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"128";"ZOCALO FOTOCONTROL";"86";"PLASTICOS CABRERA S.A."
"129";"ADAPTADOR PS2 A USB";"52";"INDUSTRIAS SUR S.R.L."
"130";"COPA CABEZAL G9 50W";"18";"CANDIL ILUMINACION"
"131";"CUERDA DESNUDA 4 MM";"97";"TELEMECANIQUE"
"132";"CUERDA DESNUDA 6 MM";"97";"TELEMECANIQUE"
"133";"ENERGIZER GRANDE D2";"72";"DIMAPE DISTRIBUIDORA"
"134";"EURO CABEZAL BI-PIN";"18";"CANDIL ILUMINACION"
"135";"FLEXIBLE DE 15 ZINC";"63";"LUMIPACK SRL"
"136";"FOX MODULO 2 X 18 W";"7";"ARTELUM S.A."
"137";"FOX MODULO 2 X 36 W";"7";"ARTELUM S.A."
"138";"FOX MODULO 2 X 58 W";"7";"ARTELUM S.A."
"139";"HALO AR111 GU10 50W";"1";"180º ILUMINACION - HLC SRL"
"140";"IMBUTO CABEZAL P/G9";"18";"CANDIL ILUMINACION"
"141";"LACA MARINA 1 LITRO";"64";"MADERIN"
"142";"LINEA SOLAR VELADOR";"25";"CIVAL ILUMINACION DE MARIO CIVALLERO"
"143";"PLAQUETA MAI12V 20W";"45";"GB INGENIERIA ELECTRONICA"
"144";"PARALELO CABLEDROP 2X2.5";"14";"CABLEDROP DE RODOLFO J. A. BADARACCO"
"145";"PORTERO C/N";"115";"JMG SRL"
"146";"PORTERO C/N";"14";"CABLEDROP DE RODOLFO J. A. BADARACCO"
"147";"PORTERO C/N";"115";"JMG SRL"
"148";"POXILINA 10MIN.";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"149";"PRENSACABLE 1/2 R.E";"86";"PLASTICOS CABRERA S.A."
"150";"PRENSACABLE 3/4 R.E";"86";"PLASTICOS CABRERA S.A."
"151";"PRENSACABLE 5/8 R.E";"86";"PLASTICOS CABRERA S.A."
"152";"PRENSACABLE 7/8 R.E";"86";"PLASTICOS CABRERA S.A."
"153";"PRENSACABLE 1 "" R.E";"86";"PLASTICOS CABRERA S.A."
"154";"PRENSACABLE 2 "" R.E";"86";"PLASTICOS CABRERA S.A."
"155";"RIELES 3 VIAS 1 MT.";"79";"NEVAR S.R.L."
"156";"SAL DE LIMON 250 CC";"64";"MADERIN"
"157";"SAL DE LIMON 500 CC";"64";"MADERIN"
"158";"TEL FIX 6X1"" DORADO";"20";"CBA DISTRIBUICIONES S.R.L."
"159";"TEL FIX 6X2"" DORADO";"20";"CBA DISTRIBUICIONES S.R.L."
"160";"TEL FIX 8X1"" DORADO";"20";"CBA DISTRIBUICIONES S.R.L."
"161";"TEL-FIX 6X1½ DORADO";"20";"CBA DISTRIBUICIONES S.R.L."
"162";"TORTUGA CICLOS 40 W";"86";"PLASTICOS CABRERA S.A."
"163";"UNION T 100 MM ESPESOR 0,7";"16";"CAMIMPORT S.R.L."
"164";"ZERO CABEZAL G9";"18";"CANDIL ILUMINACION"
"165";"ADAPTADOR E14 / GU10";"45";"GB INGENIERIA ELECTRONICA"
"166";"ADAPTADOR E27 / GU10";"45";"GB INGENIERIA ELECTRONICA"
"167";"BATERIA DE GEL 6V 4A";"52";"INDUSTRIAS SUR S.R.L."
"168";"BENNA CABEZAL G9 50W";"18";"CANDIL ILUMINACION"
"169";"BORNERA T1 -";"12";"BORNERAS"
"170";"BORNERA T2 -";"12";"BORNERAS"
"171";"BORNERA T2 -";"12";"BORNERAS"
"172";"BORNERA T3 -";"12";"BORNERAS"
"173";"BORNERA T3 -";"12";"BORNERAS"
"174";"BORNERA T3 -";"12";"BORNERAS"
"175";"BORNERA T4 -";"12";"BORNERAS"
"176";"BORNERA T4 -";"12";"BORNERAS"
"177";"CARGADOR ECONO PILAS";"107";"VEGA DE RAUL H. VEGA"
"178";"CINTA HELICOIDAL 3/8";"86";"PLASTICOS CABRERA S.A."
"179";"CINTA HELICOIDAL 1 """;"86";"PLASTICOS CABRERA S.A."
"180";"COLGANTE TELA HAMACA";"36";"ELECTROMAR SRL"
"181";"CONCENTRICO 10/";"97";"TELEMECANIQUE"
"182";"CONCENTRICO 16/";"97";"TELEMECANIQUE"
"183";"CUERDA DESNUDA 10 MM";"97";"TELEMECANIQUE"
"184";"CUERDA DESNUDA 16 MM";"97";"TELEMECANIQUE"
"185";"CUERDA DESNUDA 25 MM";"97";"TELEMECANIQUE"
"186";"CUERDA DESNUDA 35 MM";"97";"TELEMECANIQUE"
"187";"CUERDA DESNUDA 50 MM";"97";"TELEMECANIQUE"
"188";"CUERDA DESNUDA 70 MM";"97";"TELEMECANIQUE"
"189";"CUERDA DESNUDA 95 MM";"97";"TELEMECANIQUE"
"190";"ENERGIZER MEDIANA C2";"72";"DIMAPE DISTRIBUIDORA"
"191";"FICHA RCA MACHO ROJA";"52";"INDUSTRIAS SUR S.R.L."
"192";"GRAMPA DE SUSPENSION  2,5 - 100MM";"16";"CAMIMPORT S.R.L."
"193";"CABEZAL JULIA G9 50W";"18";"CANDIL ILUMINACION"
"194";"LACA MARINA 4 LITROS";"64";"MADERIN"
"195";"LINEA KUADRA VELADOR";"25";"CIVAL ILUMINACION DE MARIO CIVALLERO"
"196";"LISTON PARA TUBO LED 9W";"79";"NEVAR S.R.L."
"197";"LISTON ARMADO 1X40 W";"79";"NEVAR S.R.L."
"198";"LISTON ARMADO 2X";"79";"NEVAR S.R.L."
"199";"LISTON ARMADO 2X";"79";"NEVAR S.R.L."
"200";"MORSETA MANITO CHICA";"10";"BEENE ELECTRICIDAD SRL"
"201";"NEON P/ MODULO JELUZ";"57";"JELUZ S.A.C.I.F.I.A."
"202";"PATIO FAROL E27 100W";"18";"CANDIL ILUMINACION"
"203";"POLA TORTUGA E27";"18";"CANDIL ILUMINACION"
"204";"PORTERO C/N";"14";"CABLEDROP DE RODOLFO J. A. BADARACCO"
"205";"POXILINA 10MIN. 250G";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"206";"POXI-RAN LATA";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"207";"PROVA CABEZAL G9 50W";"18";"CANDIL ILUMINACION"
"208";"SODA CAUSTICA 500 GR";"64";"MADERIN"
"209";"TAPA EXTREMO P/FOX -";"7";"ARTELUM S.A."
"210";"TEL FIX 6 X 2"" NEGRO";"20";"CBA DISTRIBUICIONES S.R.L."
"211";"TEL FIX 6 X¾"" DORADO";"20";"CBA DISTRIBUICIONES S.R.L."
"212";"TEL FIX 6 X1¾"" NEGRO";"20";"CBA DISTRIBUICIONES S.R.L."
"213";"TEL FIX 6X1 ½"" NEGRO";"20";"CBA DISTRIBUICIONES S.R.L."
"214";"TEL FIX 8X1¼"" DORADO";"20";"CBA DISTRIBUICIONES S.R.L."
"215";"TEL-DRY T1 MECHA 8X½";"20";"CBA DISTRIBUICIONES S.R.L."
"216";"TEL-DRY T1 MECHA 8X¾";"20";"CBA DISTRIBUICIONES S.R.L."
"217";"TORTUGA OVAL PVC E27";"1";"180º ILUMINACION - HLC SRL"
"218";"VELADOR PELOTA RIVER";"36";"ELECTROMAR SRL"
"219";"VIRGIN CABEZAL DICRO";"18";"CANDIL ILUMINACION"
"220";"CAÑO CHAPA LIVIANO";"105";"VARIOS"
"221";"CAÑO CHAPA LIVIANO";"105";"VARIOS"
"222";"CAÑO CHAPA LIVIANO";"105";"VARIOS"
"223";"CAÑO CHAPA LIVIANO";"105";"VARIOS"
"224";"CAÑO CHAPA LIVIANO";"105";"VARIOS"
"225";"DALLAS FAROL E27";"18";"CANDIL ILUMINACION"
"226";"DIFUSOR VERTICAL 9120";"19";"CARILUX DE CARLOS JOSE BARTOLOTTA"
"227";"ENERGIZER A23 12V BP5";"72";"DIMAPE DISTRIBUIDORA"
"228";"ESTAÑO ALAMBRE AL 40%";"89";"RADIO NORTE"
"229";"ESTAÑO ALAMBRE AL 50%";"89";"RADIO NORTE"
"230";"ESTAÑO ALAMBRE AL 60%";"89";"RADIO NORTE"
"231";"FICHA RCA MACHO NEGRA";"52";"INDUSTRIAS SUR S.R.L."
"232";"FUENTE MULTIPLE 500 MA";"52";"INDUSTRIAS SUR S.R.L."
"233";"FUSIBLE DE VIDRIO 5 A (FUSE20MM-XX)";"85";"PINI GUILLERMO SRL"
"234";"LINEA SOLAR ARAÑA 3 L";"25";"CIVAL ILUMINACION DE MARIO CIVALLERO"
"235";"LINEA SOLAR ARAÑA 5 L";"25";"CIVAL ILUMINACION DE MARIO CIVALLERO"
"236";"LINEA SOLAR ARAÑA 8 L";"25";"CIVAL ILUMINACION DE MARIO CIVALLERO"
"237";"MIGÑON DE PVC";"66";"MEGA PLAST S.R.L."
"238";"MORSETA MANITO GRANDE";"10";"BEENE ELECTRICIDAD SRL"
"239";"NIPLE HEMBRA X 1 ZINC";"63";"LUMIPACK SRL"
"240";"PILA 12V ALKALINA A27";"52";"INDUSTRIAS SUR S.R.L."
"241";"POXILINA 10MIN. 1 KG.";"29";"DISTRIBUIDORA DEL SUR S.R.L."
"242";"PRENSACABLE PLASTICO";"53";"INICIATIVAS NUEVAS"
"243";"PRIMA MODULO 2 X 58 W";"7";"ARTELUM S.A."
"244";"SENDER APLIQUE P/LEDS";"18";"CANDIL ILUMINACION"
"245";"SENSOR MOVIL 3 CABLES CANDIL";"81";"NOVA ELECTRICITY S.A."
"246";"TAG EMBUTIDO DE PARED";"7";"ARTELUM S.A."
"247";"TEL FIX 6X1 ½"" DORADO";"20";"CBA DISTRIBUICIONES S.R.L."
"248";"TIPO TALLER 2 X";"97";"TELEMECANIQUE"
"249";"TIPO TALLER 3 X";"97";"TELEMECANIQUE"
"250";"TIPO TALLER 4 X";"97";"TELEMECANIQUE"
"251";"TIPO TALLER 4 X";"97";"TELEMECANIQUE"
"252";"TOMA 20A BLANCO KALOP";"202";"ENCANTA SA"
"253";"VELADOR TRIPODE + PANTALLA # 5";"31";"DON BELL ILUMINACION SRL"
"254";"ACEITE DE LINO 1 LITRO";"64";"MADERIN"
"255";"ADHESIVO VINILICO 1 KG";"64";"MADERIN"
"256";"ADHESIVO VINILICO 4 KG";"64";"MADERIN"
"257";"BASE CURVA";"18";"CANDIL ILUMINACION"
"258";"BORNERA T4 -";"12";"BORNERAS"
"259";"CABEZAL GU10 S05 NEGRO";"79";"NEVAR S.R.L."
"260";"CABEZAL GU10 S06 NEGRO";"79";"NEVAR S.R.L."
"261";"CINCEL SDS MAX PLUS 250 MM";"89";"RADIO NORTE"
"262";"CINCEL PUNTA SDS PLUS 22 X 400 MM";"89";"RADIO NORTE"
"263";"CINTA HELICOIDAL 1/2 """;"86";"PLASTICOS CABRERA S.A."
"264";"CINTA HELICOIDAL 3/4 """;"86";"PLASTICOS CABRERA S.A."
"265";"CINTA HELICOIDAL 5/8 """;"86";"PLASTICOS CABRERA S.A."
"267";"CONECTOR Hº CINCADO 7/8""";"70";"METALURGICA SAN MIGUEL"
"270";"PARALELO CABLEDROP 2X1.5";"14";"CABLEDROP DE RODOLFO J. A. BADARACCO"
"271";"TIPO TALLER CABLEDROP 2X4";"14";"CABLEDROP DE RODOLFO J. A. BADARACCO"
"272";"ENERGIZER BATERIA 9V 1";"72";"DIMAPE DISTRIBUIDORA"
"273";"ENERGIZER X91 TITANIUM";"72";"DIMAPE DISTRIBUIDORA"
"274";"ENERGIZER X92 TITANIUM";"72";"DIMAPE DISTRIBUIDORA"
"275";"FUENTE MULTIPLE 300 MA";"52";"INDUSTRIAS SUR S.R.L."
"276";"GREEN GOMA DE REPUESTO";"7";"ARTELUM S.A."
"277";"LACA BRILLANTE 1 LITRO";"64";"MADERIN"
"278";"LINEA SOLAR ARAÑA 12 L";"25";"CIVAL ILUMINACION DE MARIO CIVALLERO"
"279";"LINEA SOLAR LISTON 3 L";"25";"CIVAL ILUMINACION DE MARIO CIVALLERO"
"280";"LINEA SOLAR LISTON 4 L";"25";"CIVAL ILUMINACION DE MARIO CIVALLERO"
"281";"PRECINTO 2,5X100 NEGRO";"40";"ETA ELECTRO S.A."
"282";"PRECINTO 2,5X150 NEGRO";"40";"ETA ELECTRO S.A."
"283";"PRECINTO 3,6X150 NEGRO";"40";"ETA ELECTRO S.A."
"284";"PRECINTO 3,6X200 NEGRO";"40";"ETA ELECTRO S.A."
"285";"PRECINTO 3,6X370 NEGRO";"40";"ETA ELECTRO S.A."
"286";"PREENSAMBLADO 4 X";"51";"INDUSTRIAS MH S.R.L."
"287";"PREENSAMBLADO 4 X";"51";"INDUSTRIAS MH S.R.L."
"288";"PRENSACABLE 1 1/2"" R.E";"86";"PLASTICOS CABRERA S.A."
"289";"PRENSACABLE 1 1/4"" R.E";"86";"PLASTICOS CABRERA S.A."
"290";"PRIMA MODULO 3 X 36 W-";"7";"ARTELUM S.A."
"291";"REFLECTOR CUARZO";"16";"CAMIMPORT S.R.L."
"292";"RECTANGULAR ROKER 10X5";"92";"SANTIAGO BERTONCELLO"
"293";"RELE MONTERO TR1 T0 (0,63-1A)";"74";"MONTERO S.A."
"294";"RELE MONTERO TR1 T0 (2,5-4 A)";"74";"MONTERO S.A."
"295";"FICHA RJ 45 PLUG COMPUTACION";"52";"INDUSTRIAS SUR S.R.L."
"296";"SILICONADO 1 X 0.75 MM";"97";"TELEMECANIQUE"
"297";"SILICONADO 1 X 1.00 MM";"97";"TELEMECANIQUE"
"298";"SILICONADO 1 X 1.50 MM";"97";"TELEMECANIQUE"
"299";"SILICONADO 1 X 2.50 MM";"97";"TELEMECANIQUE"
"300";"SILICONADO 1 X 4.00 MM";"97";"TELEMECANIQUE"
"301";"SILICONADO 1 X 6.00 MM";"97";"TELEMECANIQUE"
"302";"SOGA REMOLQUE 4 METROS";"89";"RADIO NORTE"
"303";"SOPORTE MULTIPROPOSITO";"52";"INDUSTRIAS SUR S.R.L."
"304";"TAPA MIGNON A TORNILLO";"86";"PLASTICOS CABRERA S.A."
"305";"TEL DRY 6 X1"" AGUJA T2";"20";"CBA DISTRIBUICIONES S.R.L."
"306";"TEL DRY 6 X1? MECHA T2";"20";"CBA DISTRIBUICIONES S.R.L."
"307";"TEL DRY 6 X1½ AGUJA T3";"20";"CBA DISTRIBUICIONES S.R.L."
"308";"TEL DRY 6 X1? MECHA T3";"20";"CBA DISTRIBUICIONES S.R.L."
"309";"TEL DRY 8 X1"" MECHA T1";"20";"CBA DISTRIBUICIONES S.R.L."
"310";"TOMA TELEFONICO MIGNON";"23";"CIOCCA PLAST SRL"
"311";"TORRETA CABEZAL G9";"18";"CANDIL ILUMINACION"
"312";"TORTUGA OVAL 100W FUNDICION";"93";"SCHNEIDER ELECTRIC ARGENTINA SA."
"313";"TORTUGA OVAL METAL E27";"1";"180º ILUMINACION - HLC SRL"
"314";"UNION CRUZ 100 MM ESPESOR 0,7";"16";"CAMIMPORT S.R.L."
"315";"VENECIA CABEZAL G9";"18";"CANDIL ILUMINACION"
"316";"ACEITE DE LINO 4 LITROS";"64";"MADERIN"
"317";"ADAPTADOR MIG 2 A 3 10A";"71";"MIG-MAVI"
"318";"ADAPTADOR 3 A 2 10A";"70";"METALURGICA SAN MIGUEL"
"319";"ADHESIVO VINILICO 20 KG";"64";"MADERIN"
"320";"ARAÑA COLGAR";"31";"DON BELL ILUMINACION SRL"
"321";"ARMATURA CABEZAL G9";"18";"CANDIL ILUMINACION"
"322";"BALASTO ELECTRONICO 18W";"40";"ETA ELECTRO S.A."
"323";"BALASTO ELECTRONICO 36W";"40";"ETA ELECTRO S.A."
"324";"BALASTO ELECTRONICO 58W";"40";"ETA ELECTRO S.A."
"325";"BASE CURVA BLANCO";"18";"CANDIL ILUMINACION"
"326";"BASE CURVA";"18";"CANDIL ILUMINACION"
"327";"BASE CURVA";"18";"CANDIL ILUMINACION"
"328";"BATERIA DE GEL 12V 7 AH";"81";"NOVA ELECTRICITY S.A."
"329";"BOBACHA PLASTICA DORADA";"70";"METALURGICA SAN MIGUEL"
"330";"BORNERA 12 POLOS";"86";"PLASTICOS CABRERA S.A."
"331";"BORNERA 12 POLOS";"86";"PLASTICOS CABRERA S.A."
"332";"BUSCAPOLO "" EL ABUELO """;"89";"RADIO NORTE"
"333";"CABEZAL GU10 S05 BLANCO";"79";"NEVAR S.R.L."
"334";"CABEZAL GU10 S06 BLANCO";"79";"NEVAR S.R.L."
"335";"CABEZAL MINITEATRO GU10";"31";"DON BELL ILUMINACION SRL"
"336";"CANELA 25 V/C C/CAD NEG";"63";"LUMIPACK SRL"
"337";"CAÑO CHAPA LIVIANO";"105";"VARIOS"
